ModelType,FeatureSet,Accuracy,FNR,FPR,Precision,Recall,F1score,ConfusionMatrix
Default,zncc_50,0.5628415300546448,0.5986394557823129,0.3287671232876712,0.45038167938931295,0.4013605442176871,0.4244604316546763,"[[147, 72], [88, 59]]"
GridSearch,zncc_50,0.6065573770491803,0.8299319727891157,0.1004566210045662,0.5319148936170213,0.17006802721088435,0.25773195876288657,"[[197, 22], [122, 25]]"
Default,zncc_90,0.5437158469945356,0.6530612244897959,0.3242009132420091,0.4180327868852459,0.3469387755102041,0.379182156133829,"[[148, 71], [96, 51]]"
GridSearch,zncc_90,0.6311475409836066,0.7959183673469388,0.0821917808219178,0.625,0.20408163265306123,0.3076923076923077,"[[201, 18], [117, 30]]"
Default,centroid_50,0.5655737704918032,0.4965986394557823,0.3926940639269406,0.4625,0.5034013605442177,0.4820846905537459,"[[133, 86], [73, 74]]"
GridSearch,centroid_50,0.587431693989071,0.6394557823129252,0.2602739726027397,0.4818181818181818,0.36054421768707484,0.41245136186770426,"[[162, 57], [94, 53]]"
Default,centroid_90,0.5327868852459017,0.5850340136054422,0.3881278538812785,0.4178082191780822,0.41496598639455784,0.41638225255972694,"[[134, 85], [86, 61]]"
GridSearch,centroid_90,0.5327868852459017,0.7346938775510204,0.2876712328767123,0.38235294117647056,0.2653061224489796,0.3132530120481928,"[[156, 63], [108, 39]]"
Default,all,0.6092896174863388,0.6190476190476191,0.2374429223744292,0.5185185185185185,0.38095238095238093,0.4392156862745098,"[[167, 52], [91, 56]]"
GridSearch,all,0.6420765027322405,0.6054421768707483,0.1917808219178082,0.58,0.3945578231292517,0.46963562753036436,"[[177, 42], [89, 58]]"
